"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"IL","9","D","F","S001145","29911",24,-2.35734119026629,-2.74470016084696,-2.0008223949193,"Schakowsky (D IL-9)",1,"Jan","Schakowsky"
"WI","2","D","M","P000607", ,9,-2.23394517675669,-2.59102190785409,-1.87944681138047,"Pocan (D WI-2)",2,"Mark","Pocan"
"MA","2","D","M","M000312","29729",23,-2.03853202967348,-2.35311852033084,-1.72851779767033,"McGovern (D MA-2)",3,"Jim","McGovern"
"NY","10","D","M","N000002","29377",35,-1.98998077996853,-2.28708754923627,-1.7193235970933,"Nadler (D NY-10)",4,"Jerrold","Nadler"
"MD","4","D","F","E000290", ,42,-1.83030484452098,-2.10390745040931,-1.56171124354792,"Edwards (D MD-4)",5,"Donna","Edwards"
"CA","34","D","M","B000287","29316",44,-1.7651317491988,-2.0509148765274,-1.50901924919995,"Becerra (D CA-34)",6,"Xavier","Becerra"
"CA","13","D","F","L000551","29778",42,-1.74249872612809,-1.99508299202061,-1.52351998596726,"Lee (D CA-13)",7,"Barbara","Lee"
"CA","27","D","F","C001080", ,51,-1.71842042485677,-2.00450458769837,-1.46984701229356,"Chu (D CA-27)",8,"Judy","Chu"
"NJ","12","D","M","H001032","29923",148,-1.70846049999382,-1.96590562555667,-1.41926250043361,"Holt (D NJ-12)",9,"Rush","Holt"
"WA","7","D","M","M000404","15613",40,-1.68155184206782,-1.94258352971161,-1.44055720272988,"McDermott (D WA-7)",10,"Jim","McDermott"
"NY","15","D","M","S000248","29134",25,-1.67258819505477,-1.92273763667253,-1.42318730926403,"Serrano (D NY-15)",11,"José","Serrano"
"CA","37","D","F","B001270", ,136,-1.65583875115224,-1.91636277243973,-1.41045535987169,"Bass (D CA-37)",12,"Karen","Bass"
"NJ","6","D","M","P000034","15454",87,-1.62537539399668,-1.86986727523257,-1.39562056152193,"Pallone (D NJ-6)",13,"Frank","Pallone"
"MA","5","D","F","C001101","",656,-1.61819063525552,-1.98554852865616,-1.26705143378858,"Clark (D MA-5)",14,"Katherine","Clark"
"NY","9","D","F","C001067","20733",57,-1.61471563297119,-1.85858473462227,-1.38072959398607,"Clarke (D NY-9)",15,"Yvette","Clarke"
"CA","47","D","M","L000579", ,15,-1.56588292746562,-1.79166329920259,-1.34009915421926,"Lowenthal (D CA-47)",16,"Alan","Lowenthal"
"CA","17","D","M","H001034","20103",93,-1.5557745697162,-1.77897377553196,-1.34605393934409,"Honda (D CA-17)",17,"Michael","Honda"
"NY","7","D","F","V000081","29378",58,-1.54554126877339,-1.77837351611582,-1.33479303877488,"Velázquez (D NY-7)",18,"Nydia","Velázquez"
"MI","13","D","M","C000714","10713",53,-1.53225858976518,-1.7410625856847,-1.31843061586412,"Conyers Jr. (D MI-13)",19,"John","Conyers Jr."
"GA","5","D","M","L000287","15431",153,-1.53168547799831,-1.76126073962426,-1.31231114999975,"Lewis (D GA-5)",20,"John","Lewis"
"CA","40","D","F","R000486","29317",33,-1.49852502046319,-1.70889941322733,-1.28488157186927,"Roybal-Allard (D CA-40)",21,"Lucille","Roybal-Allard"
"MA","","D","M","M000133","14435",973,-1.49196247724882,-1.85995235219761,-1.11607671960799,"Markey (D MA-)",22,"Edward","Markey"
