Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area Sq Mi,Area Water,Area Land,Density Land,Density Housing,District
0400000US01,1,Alabama,5001300US0101,101,Alabama - Congressional District 1 (113th Congress),Congressional District 1 (113th Congress),682820,322427,6945.56,878.72,6066.83,112.5,53.1,1
0400000US01,1,Alabama,5001300US0102,102,Alabama - Congressional District 2 (113th Congress),Congressional District 2 (113th Congress),682820,307620,10260.18,118.54,10141.63,67.3,30.3,2
0400000US01,1,Alabama,5001300US0103,103,Alabama - Congressional District 3 (113th Congress),Congressional District 3 (113th Congress),682819,315794,7725.66,181.8,7543.86,90.5,41.9,3
0400000US01,1,Alabama,5001300US0104,104,Alabama - Congressional District 4 (113th Congress),Congressional District 4 (113th Congress),682819,311875,9108.98,220.2,8888.77,76.8,35.1,4
0400000US01,1,Alabama,5001300US0105,105,Alabama - Congressional District 5 (113th Congress),Congressional District 5 (113th Congress),682819,301081,3856.78,179.47,3677.31,185.7,81.9,5
0400000US01,1,Alabama,5001300US0106,106,Alabama - Congressional District 6 (113th Congress),Congressional District 6 (113th Congress),682819,293399,4239.23,68.45,4170.78,163.7,70.3,6
0400000US01,1,Alabama,5001300US0107,107,Alabama - Congressional District 7 (113th Congress),Congressional District 7 (113th Congress),682820,319657,10283.68,127.55,10156.13,67.2,31.5,7
0400000US02,2,Alaska,5001300US0200,200,Alaska - Congressional District (at Large) (113th Congress),Congressional District (at Large) (113th Congress),710231,306967,665384.04,94743.1,570640.95,1.2,0.5,1
0400000US04,4,Arizona,5001300US0401,401,Arizona - Congressional District 1 (113th Congress),Congressional District 1 (113th Congress),710224,323830,55176.42,136.81,55039.61,12.9,5.9,1
0400000US04,4,Arizona,5001300US0402,402,Arizona - Congressional District 2 (113th Congress),Congressional District 2 (113th Congress),710224,339912,7891.57,53.45,7838.12,90.6,43.4,2
0400000US04,4,Arizona,5001300US0403,403,Arizona - Congressional District 3 (113th Congress),Congressional District 3 (113th Congress),710224,258056,15691.87,3.08,15688.79,45.3,16.4,3
0400000US04,4,Arizona,5001300US0404,404,Arizona - Congressional District 4 (113th Congress),Congressional District 4 (113th Congress),710224,379317,33394.05,194.6,33199.45,21.4,11.4,4
0400000US04,4,Arizona,5001300US0405,405,Arizona - Congressional District 5 (113th Congress),Congressional District 5 (113th Congress),710224,303397,294.37,0.9,293.47,2420.1,1033.8,5
0400000US04,4,Arizona,5001300US0406,406,Arizona - Congressional District 6 (113th Congress),Congressional District 6 (113th Congress),710224,344899,629.16,4.09,625.07,1136.2,551.8,6
0400000US04,4,Arizona,5001300US0407,407,Arizona - Congressional District 7 (113th Congress),Congressional District 7 (113th Congress),710224,252200,205.52,0.4,205.12,3462.5,1229.5,7
0400000US04,4,Arizona,5001300US0408,408,Arizona - Congressional District 8 (113th Congress),Congressional District 8 (113th Congress),710225,313633,541.2,1.54,539.66,1316,581.2,8
0400000US04,4,Arizona,5001300US0409,409,Arizona - Congressional District 9 (113th Congress),Congressional District 9 (113th Congress),710224,329282,166.15,1.35,164.79,4309.8,1998.2,9
0400000US05,5,Arkansas,5001300US0501,501,Arkansas - Congressional District 1 (113th Congress),Congressional District 1 (113th Congress),728765,333200,19795.55,477.26,19318.29,37.7,17.2,1
0400000US05,5,Arkansas,5001300US0502,502,Arkansas - Congressional District 2 (113th Congress),Congressional District 2 (113th Congress),729192,324438,5095.86,117.74,4978.12,146.5,65.2,2
0400000US05,5,Arkansas,5001300US0503,503,Arkansas - Congressional District 3 (113th Congress),Congressional District 3 (113th Congress),728959,315953,5543.97,142.98,5400.99,135,58.5,3
0400000US05,5,Arkansas,5001300US0504,504,Arkansas - Congressional District 4 (113th Congress),Congressional District 4 (113th Congress),729002,342708,22743.17,405.09,22338.08,32.6,15.3,4
0400000US06,6,California,5001300US0601,601,California - Congressional District 1 (113th Congress),Congressional District 1 (113th Congress),702905,319851,28839.45,749.98,28089.47,25,11.4,1
0400000US06,6,California,5001300US0602,602,California - Congressional District 2 (113th Congress),Congressional District 2 (113th Congress),702905,316014,14544.03,1591.8,12952.23,54.3,24.4,2
0400000US06,6,California,5001300US0603,603,California - Congressional District 3 (113th Congress),Congressional District 3 (113th Congress),702906,262963,6359.94,176.36,6183.59,113.7,42.5,3
0400000US06,6,California,5001300US0604,604,California - Congressional District 4 (113th Congress),Congressional District 4 (113th Congress),702906,348448,13168.36,332.15,12836.2,54.8,27.1,4
0400000US06,6,California,5001300US0605,605,California - Congressional District 5 (113th Congress),Congressional District 5 (113th Congress),702905,284460,1854.12,123.3,1730.82,406.1,164.3,5
0400000US06,6,California,5001300US0606,606,California - Congressional District 6 (113th Congress),Congressional District 6 (113th Congress),702905,282509,179.4,4.37,175.04,4015.8,1614,6
0400000US06,6,California,5001300US0607,607,California - Congressional District 7 (113th Congress),Congressional District 7 (113th Congress),702904,271268,553.92,5.26,548.65,1281.1,494.4,7
0400000US06,6,California,5001300US0608,608,California - Congressional District 8 (113th Congress),Congressional District 8 (113th Congress),702905,305623,33041.15,173.94,32867.21,21.4,9.3,8
0400000US06,6,California,5001300US0609,609,California - Congressional District 9 (113th Congress),Congressional District 9 (113th Congress),702904,242082,1305.03,59.75,1245.28,564.5,194.4,9
0400000US06,6,California,5001300US0610,610,California - Congressional District 10 (113th Congress),Congressional District 10 (113th Congress),702905,241329,1841.62,22.83,1818.79,386.5,132.7,10
0400000US06,6,California,5001300US0611,611,California - Congressional District 11 (113th Congress),Congressional District 11 (113th Congress),702906,276041,529.14,35.54,493.61,1424,559.2,11
0400000US06,6,California,5001300US0612,612,California - Congressional District 12 (113th Congress),Congressional District 12 (113th Congress),702905,342334,120.69,81.71,38.97,18034.8,8783.4,12
0400000US06,6,California,5001300US0613,613,California - Congressional District 13 (113th Congress),Congressional District 13 (113th Congress),702906,302930,145.92,49.13,96.79,7262.1,3129.7,13
0400000US06,6,California,5001300US0614,614,California - Congressional District 14 (113th Congress),Congressional District 14 (113th Congress),702905,259708,579.08,319.58,259.5,2708.6,1000.8,14
0400000US06,6,California,5001300US0615,615,California - Congressional District 15 (113th Congress),Congressional District 15 (113th Congress),702904,246402,626.39,26.94,599.45,1172.6,411,15
0400000US06,6,California,5001300US0616,616,California - Congressional District 16 (113th Congress),Congressional District 16 (113th Congress),702904,220587,2885.3,45.79,2839.51,247.5,77.7,16
0400000US06,6,California,5001300US0617,617,California - Congressional District 17 (113th Congress),Congressional District 17 (113th Congress),702904,249146,193.78,8.93,184.85,3802.5,1347.8,17
0400000US06,6,California,5001300US0618,618,California - Congressional District 18 (113th Congress),Congressional District 18 (113th Congress),702906,283599,823.5,127.38,696.12,1009.7,407.4,18
0400000US06,6,California,5001300US0619,619,California - Congressional District 19 (113th Congress),Congressional District 19 (113th Congress),702904,222633,921.85,6.51,915.34,767.9,243.2,19
0400000US06,6,California,5001300US0620,620,California - Congressional District 20 (113th Congress),Congressional District 20 (113th Congress),702906,244569,5482.28,608.06,4874.22,144.2,50.2,20
0400000US06,6,California,5001300US0621,621,California - Congressional District 21 (113th Congress),Congressional District 21 (113th Congress),702904,190527,6743.86,13.92,6729.94,104.4,28.3,21
0400000US06,6,California,5001300US0622,622,California - Congressional District 22 (113th Congress),Congressional District 22 (113th Congress),702905,245519,1168.94,3.82,1165.12,603.3,210.7,22
0400000US06,6,California,5001300US0623,623,California - Congressional District 23 (113th Congress),Congressional District 23 (113th Congress),702904,264060,9936.89,38.88,9898,71,26.7,23
0400000US06,6,California,5001300US0624,624,California - Congressional District 24 (113th Congress),Congressional District 24 (113th Congress),702904,275400,8307.71,1424.36,6883.35,102.1,40,24
0400000US06,6,California,5001300US0625,625,California - Congressional District 25 (113th Congress),Congressional District 25 (113th Congress),702904,234183,1702.47,11.97,1690.5,415.8,138.5,25
0400000US06,6,California,5001300US0626,626,California - Congressional District 26 (113th Congress),Congressional District 26 (113th Congress),702905,239141,1250.75,311.63,939.12,748.5,254.6,26
0400000US06,6,California,5001300US0627,627,California - Congressional District 27 (113th Congress),Congressional District 27 (113th Congress),702905,258897,702.85,2.94,699.9,1004.3,369.9,27
0400000US06,6,California,5001300US0628,628,California - Congressional District 28 (113th Congress),Congressional District 28 (113th Congress),702904,317236,219.39,0.94,218.45,3217.7,1452.2,28
0400000US06,6,California,5001300US0629,629,California - Congressional District 29 (113th Congress),Congressional District 29 (113th Congress),702905,210475,92.66,0.63,92.03,7637.7,2287,29
0400000US06,6,California,5001300US0630,630,California - Congressional District 30 (113th Congress),Congressional District 30 (113th Congress),702904,282972,137.88,1.93,135.94,5170.5,2081.5,30
0400000US06,6,California,5001300US0631,631,California - Congressional District 31 (113th Congress),Congressional District 31 (113th Congress),702905,231682,220.73,2.49,218.24,3220.8,1061.6,31
0400000US06,6,California,5001300US0632,632,California - Congressional District 32 (113th Congress),Congressional District 32 (113th Congress),702905,203067,126.29,2.06,124.23,5657.9,1634.6,32
0400000US06,6,California,5001300US0633,633,California - Congressional District 33 (113th Congress),Congressional District 33 (113th Congress),702904,328472,477.65,189.06,288.58,2435.7,1138.2,33
