last.name,first.name,state,district,party,gender,nameid,icpsr.id,missingVotes,idealPoint,lo,up,label
Aderholt,Robert,Alabama,4,R,M,A000055,29701,53,0.852244659,0.695238897,0.996026144,Aderholt (R AL-4)
Alexander,Rodney,Louisiana,5,R,M,A000361,20327,313,0.61743243,0.491729216,0.743853894,Alexander (R LA-5)
Amash,Justin,Michigan,3,R,M,A000367,NA,4,0.55509151,0.460603541,0.663062732,Amash (R MI-3)
Amodei,Mark,Nevada,2,R,M,A000369,NA,93,0.847924374,0.69531155,0.985843622,Amodei (R NV-2)
Andrews,Robert,New Jersey,1,D,M,A000210,15802,99,-0.968699997,-1.110276179,-0.841361568,Andrews (D NJ-1)
Bachmann,Michele,Minnesota,6,R,F,B001256,20728,63,0.89658077,0.743665655,1.045684416,Bachmann (R MN-6)
Bachus,Spencer,Alabama,6,R,M,B000013,29301,14,0.679152075,0.564877483,0.799266266,Bachus (R AL-6)
Barber,Ron,Arizona,2,D,M,B001279,NA,30,-0.290777654,-0.360863804,-0.224403692,Barber (D AZ-2)
Barletta,Lou,Pennsylvania,11,R,M,B001269,NA,25,0.631892427,0.521358659,0.750321138,Barletta (R PA-11)
Barr,Andy,Kentucky,6,R,M,B001282,NA,6,1.001716073,0.828559849,1.170388165,Barr (R KY-6)
Barrow,John,Georgia,12,D,M,B001252,20507,3,-0.193725265,-0.26505687,-0.127222633,Barrow (D GA-12)
Barton,Joe,Texas,6,R,M,B000213,15202,46,0.840041639,0.710923825,0.999192583,Barton (R TX-6)
Bass,Karen,California,37,D,F,B001270,NA,85,-1.615529524,-1.896298545,-1.350428491,Bass (D CA-37)
Beatty,Joyce,Ohio,3,D,F,B001281,NA,20,-1.222040598,-1.420408175,-1.034909296,Beatty (D OH-3)
Becerra,Xavier,California,34,D,M,B000287,29316,30,-1.789772078,-2.108258002,-1.460034709,Becerra (D CA-34)
Benishek,Dan,Michigan,1,R,M,B001271,NA,15,0.746129476,0.611089327,0.874558085,Benishek (R MI-1)
Bentivolio,Kerry,Michigan,11,R,M,B001280,NA,6,1.020212738,0.852146476,1.174426443,Bentivolio (R MI-11)
Bera,Ami,California,7,D,M,B001287,NA,7,-0.568002279,-0.653654316,-0.482242146,Bera (D CA-7)
Bilirakis,Gus,Florida,12,R,M,B001257,NA,17,0.814316267,0.668669131,0.942710062,Bilirakis (R FL-12)
Bishop,Timothy,New York,1,D,M,B001242,20338,9,-0.897330519,-1.018192392,-0.77818681,Bishop (D NY-1)
Bishop,Rob,Utah,1,R,M,B001250,20357,40,1.007184806,0.84071912,1.182399285,Bishop (R UT-1)
Bishop Jr.,Sanford,Georgia,2,D,M,B000490,29339,52,-0.437324226,-0.518347347,-0.359724206,Bishop Jr. (D GA-2)
Black,Diane,Tennessee,6,R,F,B001273,NA,14,1.093795931,0.900983679,1.27951116,Black (R TN-6)
Blackburn,Marsha,Tennessee,7,R,F,B001243,20351,28,1.181855759,0.992454329,1.380869692,Blackburn (R TN-7)
Blumenauer,Earl,Oregon,3,D,M,B000574,29588,55,-1.138883789,-1.306897896,-0.976778528,Blumenauer (D OR-3)
Boehner,John,Ohio,8,R,M,B000589,15806,768,0.651830218,0.356561333,0.952444274,Boehner (R OH-8)
Bonamici,Suzanne,Oregon,1,D,F,B001278,NA,5,-1.215454247,-1.393685672,-1.045122726,Bonamici (D OR-1)
Bonner,Jo,Alabama,1,R,M,B001244,20300,377,0.731560495,0.590642542,0.87401124,Bonner (R AL-1)
Boustany Jr.,Charles,Louisiana,3,R,M,B001255,20514,9,0.823277517,0.685231894,0.961747698,Boustany Jr. (R LA-3)
Brady,Robert,Pennsylvania,1,D,M,B001227,29777,15,-1.124468433,-1.295293749,-0.957575931,Brady (D PA-1)
Brady,Kevin,Texas,8,R,M,B000755,29760,26,1.051976157,0.876868936,1.2376035,Brady (R TX-8)
Braley,Bruce,Iowa,1,D,M,B001259,20719,24,-0.696903498,-0.790717655,-0.596919835,Braley (D IA-1)
Bridenstine,Jim,Oklahoma,1,R,M,B001283,NA,9,0.987256877,0.828288204,1.144088854,Bridenstine (R OK-1)
Brooks,Mo,Alabama,5,R,M,B001274,NA,12,0.935372268,0.785857242,1.104212156,Brooks (R AL-5)
Brooks,Susan,Indiana,5,R,F,B001284,NA,6,0.883362761,0.733469797,1.03253505,Brooks (R IN-5)
